Frequency,Real part,Imaginary part,Magnitude,Angle
+6.884766E+04,-2.337653E-04,+2.182964E-05,-7.258669E+01,+3.048480E+00
+6.909180E+04,+1.149652E-04,-1.332101E-04,-7.509172E+01,-8.587821E-01
+6.933594E+04,-4.191033E-05,+1.624434E-04,-7.550609E+01,+1.823290E+00
+6.958008E+04,+1.315057E-04,-4.288653E-05,-7.718217E+01,-3.152439E-01
+6.982422E+04,-1.103098E-04,-9.951618E-05,-7.656164E+01,-2.407590E+00
+7.006836E+04,+5.827180E-05,+1.867106E-04,-7.417295E+01,+1.268279E+00
+7.031250E+04,-2.835538E-04,-1.170654E-04,-7.026378E+01,-2.750057E+00
+7.055664E+04,+4.065180E-04,-3.840443E-05,-6.777982E+01,-9.419211E-02
+7.080078E+04,-2.900398E-04,+8.024430E-05,-7.043053E+01,+2.871678E+00
+7.104492E+04,+1.969676E-04,-9.198955E-05,-7.325522E+01,-4.369245E-01
+7.128906E+04,-1.677037E-05,+1.201839E-04,-7.831932E+01,+1.709440E+00
+7.153320E+04,-1.843036E-04,-7.574804E-05,-7.401148E+01,-2.751643E+00
+7.177734E+04,+2.247738E-04,+4.700023E-05,-7.277924E+01,+2.061302E-01
+7.202148E+04,-1.258743E-04,-4.433350E-05,-7.749341E+01,-2.802955E+00
+7.226562E+04,-6.845270E-05,+7.414070E-06,-8.324154E+01,+3.033704E+00
+7.250977E+04,+1.322400E-04,+4.418789E-05,-7.711304E+01,+3.224846E-01
+7.275391E+04,+3.678926E-05,+2.959489E-05,-8.651830E+01,+6.774448E-01
+7.299805E+04,-1.525717E-04,+1.989071E-05,-7.625733E+01,+3.011954E+00
+7.324219E+04,+8.726565E-05,-1.737709E-04,-7.422375E+01,-1.105400E+00
+7.348633E+04,+6.564717E-05,+3.944378E-05,-8.231705E+01,+5.410407E-01
+7.373047E+04,-2.704102E-04,+7.821887E-05,-7.101057E+01,+2.860018E+00
+7.397461E+04,+1.929032E-04,-1.379552E-04,-7.249929E+01,-6.208233E-01
+7.421875E+04,+7.975662E-05,+1.541549E-04,-7.521075E+01,+1.093342E+00
+7.446289E+04,-4.357202E-05,+4.769395E-05,-8.379527E+01,+2.311061E+00
+7.470703E+04,-4.350413E-06,-7.504594E-05,-8.247888E+01,-1.628702E+00
